"LlibreA","Anchor","LlibreB","Grup","Repetidor"
1250,"1500",900,"BLM",FALSE
198,"50",192,"BLM",FALSE
462,"1500",343,"BLM",FALSE
210,"1500",280,"BLM",FALSE
250,"50",200,"BLM",FALSE
250,"50",263,"BLM",FALSE
384,"50",432,"BLM",FALSE
168,"50",172,"BLM",FALSE
477,"1500",520,"BLM",FALSE
1452,"50",2350,"BLM",TRUE
270,"50",278,"BLM",FALSE
370,"1500",500,"BLM",FALSE
360,"1500",350,"BLM",TRUE
296,"1500",358,"BLM",TRUE
187,"50",203,"BLM",FALSE
437,"1500",375,"BLM",FALSE
210,"1500",1160,"BLM",FALSE
200,"1500",500,"BLM",TRUE
420,"50",NA,"BLM",FALSE
1200,"50",1410,"BLM",TRUE
270,"50",182,"BLM",TRUE
400,"50",550,"BLM",FALSE
307,"50",280,"BLM",FALSE
256,"1500",230,"BLM",FALSE
250,"1500",250,"BLM",FALSE
260,"1500",240,"BLM",FALSE
560,"50",1000,"BLM",FALSE
425,"1500",385,"BLM",FALSE
866,"50",654,"BLM",FALSE
72,"50",84,"BLM",FALSE
650,"50",500,"BLM",FALSE
350,"1500",400,"BLT",TRUE
110,"50",215,"BLT",TRUE
378,"50",232,"BLT",FALSE
420,"1500",350,"BLT",TRUE
570,"1500",580,"BLT",TRUE
350,"50",330,"BLT",FALSE
1860,"50",1100,"BLT",FALSE
300,"50",450,"BLT",TRUE
178,"50",210,"BLT",TRUE
300,"1500",250,"BLT",TRUE
200,"50",100,"BLT",FALSE
300,"50",300,"BLT",FALSE
198,"50",184,"BLT",TRUE
194,"1500",304,"BLT",TRUE
NA,"50",500,"BLT",FALSE
215,"1500",198,"BLT",TRUE
360,"1500",340,"BLT",TRUE
327,"50",257,"BLT",TRUE
240,"1500",250,"BLT",FALSE
230,"50",370,"BLT",TRUE
390,"1500",400,"BLT",FALSE
160,"1500",200,"BLT",FALSE
209,"1500",200,"BLT",FALSE
450,"50",270,"BLT",TRUE
196,"50",130,"BQ",FALSE
360,"1500",300,"BQ",FALSE
150,"50",150,"BQ",TRUE
354,"1500",372,"BQ",FALSE
352,"50",373,"BQ",FALSE
390,"50",490,"BQ",FALSE
308,"1500",410,"BQ",FALSE
423,"50",395,"BQ",TRUE
480,"50",500,"BQ",TRUE
110,"50",400,"BQ",TRUE
600,"1500",500,"BQ",FALSE
150,"1500",200,"BQ",FALSE
250,"1500",500,"BQ",FALSE
58,"50",132,"BQ",FALSE
300,"1500",280,"BQ",FALSE
293,"50",352,"BQ",FALSE
325,"50",253,"BQ",TRUE
482,"50",320,"BQ",FALSE
250,"1500",300,"BQ",TRUE
NA,"1500",67,"BQ",FALSE
347,"50",NA,"BQ",FALSE
220,"1500",1150,"BQ",FALSE
358,"1500",256,"BQ",FALSE
409,"50",449,"BQ",FALSE
420,"50",450,"BQ",FALSE
400,"50",500,"BQ",FALSE
250,"1500",220,"BQ",FALSE
450,"1500",290,"BQ",FALSE
488,"1500",480,"BQ",FALSE
260,"1500",240,"BQ",FALSE
420,"50",370,"BQ",FALSE
20,"1500",40,"BQ",FALSE
342,"1500",388,"BQ",FALSE
232,"50",375,"BQ",FALSE
482,"50",320,"BQ",FALSE
377,"1500",223,"BQ",FALSE
150,"1500",1500,"BQ",TRUE
388,"1500",390,"BQ",FALSE
482,"50",320,"BQ",FALSE
373,"50",282,"BQ",TRUE
246,"1500",206,"BQ",FALSE
